,id,...1.x,x070,x075,x080,x085,x090,x095,x099,x100,more_than_one_mutant,first_mutant_init_time,pop_radius_at_first_mut_init,mu_driver_birth,s_driver_birth,birth_rate_end_mean,sr1,...1.y,sweep_complete_time,sweep_complete_size,sweep_complete_ID,"sim_length	sim_size",
1,00000000,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,234.301971,27.50098707,1e-05,2,10,10,1,279.771851,23606,3,354.637695,1e+06
2,00000000a,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,773.373962,107.5325218,1e-05,0.05,1.51548976,0.5727664,1,0,0,0,2000,487438
3,00000000aa,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,443.688599,57.95520614,1e-05,0.05,1.737435626,0.819372918,501,1487.677368,347520,21,1927.569824,1e+06
4,00000000d,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,414.703003,53.85573027,1e-05,0.075,1.865919625,0.962132917,1,1701.804688,819930,19,1770.018311,1e+06
5,00000001,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,209.097885,24.4301256,1e-05,2,10,10,2,250.501556,42540,2,320.69101,1e+06
6,00000001a,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,677.0802,91.30637562,1e-05,0.05,1.470719475,0.523021639,2,0,0,0,2000,487663
7,00000001aa,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,656.125,79.78446656,1e-05,0.05,1.515342744,0.572603049,502,0,0,0,2000,406528
8,00000001d,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,451.445831,59.36336202,1e-05,0.075,2.026193481,1.140214979,2,1361.5354,320255,36,1740.078247,1e+06
9,00000002,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,166.678482,21.52810243,1e-05,2,9.459687191,9.399652435,3,222.602386,12324,1,311.084198,1e+06
10,00000002a,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,172.82074,22.41189417,1e-05,0.05,1.579688837,0.644098708,3,0,0,0,2000,663667
11,00000002aa,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,331.626587,35.10238695,1e-05,0.05,1.66372962,0.737477356,503,0,0,0,2000,716162
12,00000002d,3,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,456.477295,59.21572178,1e-05,0.075,1.952181421,1.057979357,3,0,0,0,1619.343384,1e+06
13,00000003,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,67.356949,6.307831305,1e-05,2,10,10,4,78.05513,3144,1,178.991501,1e+06
14,00000003a,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,536.296509,66.77011507,1e-05,0.05,1.614203853,0.682448726,4,0,0,0,2000,527636
15,00000003aa,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,247.005096,30.77808021,1e-05,0.05,1.475469018,0.528298909,504,0,0,0,2000,752112
16,00000003d,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,410.727844,50.90853655,1e-05,0.075,1.827279977,0.919199974,4,0,0,0,1874.540039,1e+06
17,00000004,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,205.54332,29.13644567,1e-05,2,9.41430166,9.349224067,5,219.615051,13585,1,311.603516,1e+06
18,00000004a,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,496.827393,69.28744261,1e-05,0.05,1.412553353,0.458392614,5,0,0,0,2000,463382
19,00000004aa,10,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,358.375916,44.01402012,1e-05,0.05,1.400527752,0.445030836,505,0,0,0,2000,624484
20,00000004d,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,247.553848,35.16580595,1e-05,0.075,1.840161909,0.933513232,5,0,0,0,1733.130615,1e+06
21,00000005,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,29.782209,3.241022407,1e-05,2,9.932535993,9.925039993,6,38.765358,279,1,153.456039,1e+06
22,00000005a,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,76.121635,6.482044814,1e-05,0.05,1.409298747,0.454776386,6,0,0,0,2000,446488
23,00000005aa,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,398.700165,52.11658334,1e-05,0.05,1.209403061,0.232670068,506,0,0,0,2000,371991
24,00000005d,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,554.046692,68.56702574,1e-05,0.075,2.289619423,1.43291047,6,0,0,0,2000,769005
25,00000006,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,284.70755,40.76635765,1e-05,2,9.566204821,9.518005356,7,0,0,0,400.213928,1e+06
26,00000006a,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,657.467346,91.97155493,1e-05,0.05,1.515126993,0.572363326,7,0,0,0,2000,566507
27,00000006aa,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,283.835571,31.40767959,1e-05,0.05,1.266558334,0.296175927,507,0,0,0,2000,410937
