"","index","mu_driver_birth","s_driver_birth"
"1","00000000","1e-05","2"
"2","00000001","1e-05","2"
"3","00000002","1e-05","2"
"4","00000003","1e-05","2"
"5","00000004","1e-05","2"
"6","00000005","1e-05","2"
"7","00000006","1e-05","2"
"8","00000007","1e-05","2"
"9","00000008","1e-05","2"
"10","00000009","1e-05","2"
"11","0000000A","1e-05","2"
"12","0000000B","1e-05","2"
"13","0000000C","1e-05","2"
"14","0000000D","1e-05","2"
"15","0000000E","1e-05","2"
"16","0000000F","1e-05","2"
"17","00000010","1e-05","2"
"18","00000011","1e-05","2"
"19","00000012","1e-05","2"
"20","00000013","1e-05","2"
"21","00000014","1e-05","2"
"22","00000015","1e-05","2"
"23","00000016","1e-05","2"
"24","00000017","1e-05","2"
"25","00000018","1e-05","2"
"26","00000019","1e-05","2"
"27","0000001A","1e-05","2"
"28","0000001B","1e-05","2"
"29","0000001C","1e-05","2"
"30","0000001D","1e-05","2"
"31","0000001E","1e-05","2"
"32","0000001F","1e-05","2"
"33","00000020","1e-05","2"
"34","00000021","1e-05","2"
"35","00000022","1e-05","2"
"36","00000023","1e-05","2"
"37","00000024","1e-05","2"
"38","00000025","1e-05","2"
"39","00000026","1e-05","2"
"40","00000027","1e-05","2"
"41","00000028","1e-05","2"
"42","00000029","1e-05","2"
"43","0000002A","1e-05","2"
"44","0000002B","1e-05","2"
"45","0000002C","1e-05","2"
"46","0000002D","1e-05","2"
"47","0000002E","1e-05","2"
"48","0000002F","1e-05","2"
"49","00000030","1e-05","2"
"50","00000031","1e-05","2"
"51","00000032","1e-05","2"
"52","00000033","1e-05","2"
"53","00000034","1e-05","2"
"54","00000035","1e-05","2"
"55","00000036","1e-05","2"
"56","00000037","1e-05","2"
"57","00000038","1e-05","2"
"58","00000039","1e-05","2"
"59","0000003A","1e-05","2"
"60","0000003B","1e-05","2"
"61","0000003C","1e-05","2"
"62","0000003D","1e-05","2"
"63","0000003E","1e-05","2"
"64","0000003F","1e-05","2"
"65","00000040","1e-05","2"
"66","00000041","1e-05","2"
"67","00000042","1e-05","2"
"68","00000043","1e-05","2"
"69","00000044","1e-05","2"
"70","00000045","1e-05","2"
"71","00000046","1e-05","2"
"72","00000047","1e-05","2"
"73","00000048","1e-05","2"
"74","00000049","1e-05","2"
"75","0000004A","1e-05","2"
"76","0000004B","1e-05","2"
"77","0000004C","1e-05","2"
"78","0000004D","1e-05","2"
"79","0000004E","1e-05","2"
"80","0000004F","1e-05","2"
"81","00000050","1e-05","2"
"82","00000051","1e-05","2"
"83","00000052","1e-05","2"
"84","00000053","1e-05","2"
"85","00000054","1e-05","2"
"86","00000055","1e-05","2"
"87","00000056","1e-05","2"
"88","00000057","1e-05","2"
"89","00000058","1e-05","2"
"90","00000059","1e-05","2"
"91","0000005A","1e-05","2"
"92","0000005B","1e-05","2"
"93","0000005C","1e-05","2"
"94","0000005D","1e-05","2"
"95","0000005E","1e-05","2"
"96","0000005F","1e-05","2"
"97","00000060","1e-05","2"
"98","00000061","1e-05","2"
"99","00000062","1e-05","2"
"100","00000063","1e-05","2"
"101","00000064","1e-05","2"
"102","00000065","1e-05","2"
"103","00000066","1e-05","2"
"104","00000067","1e-05","2"
"105","00000068","1e-05","2"
"106","00000069","1e-05","2"
"107","0000006A","1e-05","2"
"108","0000006B","1e-05","2"
"109","0000006C","1e-05","2"
"110","0000006D","1e-05","2"
"111","0000006E","1e-05","2"
"112","0000006F","1e-05","2"
"113","00000070","1e-05","2"
"114","00000071","1e-05","2"
"115","00000072","1e-05","2"
"116","00000073","1e-05","2"
"117","00000074","1e-05","2"
"118","00000075","1e-05","2"
"119","00000076","1e-05","2"
"120","00000077","1e-05","2"
"121","00000078","1e-05","2"
"122","00000079","1e-05","2"
"123","0000007A","1e-05","2"
"124","0000007B","1e-05","2"
"125","0000007C","1e-05","2"
"126","0000007D","1e-05","2"
"127","0000007E","1e-05","2"
"128","0000007F","1e-05","2"
"129","00000080","1e-05","2"
"130","00000081","1e-05","2"
"131","00000082","1e-05","2"
"132","00000083","1e-05","2"
"133","00000084","1e-05","2"
"134","00000085","1e-05","2"
"135","00000086","1e-05","2"
"136","00000087","1e-05","2"
"137","00000088","1e-05","2"
"138","00000089","1e-05","2"
"139","0000008A","1e-05","2"
"140","0000008B","1e-05","2"
"141","0000008C","1e-05","2"
"142","0000008D","1e-05","2"
"143","0000008E","1e-05","2"
"144","0000008F","1e-05","2"
"145","00000090","1e-05","2"
"146","00000091","1e-05","2"
"147","00000092","1e-05","2"
"148","00000093","1e-05","2"
"149","00000094","1e-05","2"
"150","00000095","1e-05","2"
"151","00000096","1e-05","2"
"152","00000097","1e-05","2"
"153","00000098","1e-05","2"
"154","00000099","1e-05","2"
"155","0000009A","1e-05","2"
"156","0000009B","1e-05","2"
"157","0000009C","1e-05","2"
"158","0000009D","1e-05","2"
"159","0000009E","1e-05","2"
"160","0000009F","1e-05","2"
"161","000000A0","1e-05","2"
"162","000000A1","1e-05","2"
"163","000000A2","1e-05","2"
"164","000000A3","1e-05","2"
"165","000000A4","1e-05","2"
"166","000000A5","1e-05","2"
"167","000000A6","1e-05","2"
"168","000000A7","1e-05","2"
"169","000000A8","1e-05","2"
"170","000000A9","1e-05","2"
"171","000000AA","1e-05","2"
"172","000000AB","1e-05","2"
"173","000000AC","1e-05","2"
"174","000000AD","1e-05","2"
"175","000000AE","1e-05","2"
"176","000000AF","1e-05","2"
"177","000000B0","1e-05","2"
"178","000000B1","1e-05","2"
"179","000000B2","1e-05","2"
"180","000000B3","1e-05","2"
"181","000000B4","1e-05","2"
"182","000000B5","1e-05","2"
"183","000000B6","1e-05","2"
"184","000000B7","1e-05","2"
"185","000000B8","1e-05","2"
"186","000000B9","1e-05","2"
"187","000000BA","1e-05","2"
"188","000000BB","1e-05","2"
"189","000000BC","1e-05","2"
"190","000000BD","1e-05","2"
"191","000000BE","1e-05","2"
"192","000000BF","1e-05","2"
"193","000000C0","1e-05","2"
"194","000000C1","1e-05","2"
"195","000000C2","1e-05","2"
"196","000000C3","1e-05","2"
"197","000000C4","1e-05","2"
"198","000000C5","1e-05","2"
"199","000000C6","1e-05","2"
"200","000000C7","1e-05","2"
"201","000000C8","1e-05","2"
"202","000000C9","1e-05","2"
"203","000000CA","1e-05","2"
"204","000000CB","1e-05","2"
"205","000000CC","1e-05","2"
"206","000000CD","1e-05","2"
"207","000000CE","1e-05","2"
"208","000000CF","1e-05","2"
"209","000000D0","1e-05","2"
"210","000000D1","1e-05","2"
"211","000000D2","1e-05","2"
"212","000000D3","1e-05","2"
"213","000000D4","1e-05","2"
"214","000000D5","1e-05","2"
"215","000000D6","1e-05","2"
"216","000000D7","1e-05","2"
"217","000000D8","1e-05","2"
"218","000000D9","1e-05","2"
"219","000000DA","1e-05","2"
"220","000000DB","1e-05","2"
"221","000000DC","1e-05","2"
"222","000000DD","1e-05","2"
"223","000000DE","1e-05","2"
"224","000000DF","1e-05","2"
"225","000000E0","1e-05","2"
"226","000000E1","1e-05","2"
"227","000000E2","1e-05","2"
"228","000000E3","1e-05","2"
"229","000000E4","1e-05","2"
"230","000000E5","1e-05","2"
"231","000000E6","1e-05","2"
"232","000000E7","1e-05","2"
"233","000000E8","1e-05","2"
"234","000000E9","1e-05","2"
"235","000000EA","1e-05","2"
"236","000000EB","1e-05","2"
"237","000000EC","1e-05","2"
"238","000000ED","1e-05","2"
"239","000000EE","1e-05","2"
"240","000000EF","1e-05","2"
"241","000000F0","1e-05","2"
"242","000000F1","1e-05","2"
"243","000000F2","1e-05","2"
"244","000000F3","1e-05","2"
"245","000000F4","1e-05","2"
"246","000000F5","1e-05","2"
"247","000000F6","1e-05","2"
"248","000000F7","1e-05","2"
"249","000000F8","1e-05","2"
"250","000000F9","1e-05","2"
"251","000000FA","1e-05","2"
"252","000000FB","1e-05","2"
"253","000000FC","1e-05","2"
"254","000000FD","1e-05","2"
"255","000000FE","1e-05","2"
"256","000000FF","1e-05","2"
"257","00000100","1e-05","2"
"258","00000101","1e-05","2"
"259","00000102","1e-05","2"
"260","00000103","1e-05","2"
"261","00000104","1e-05","2"
"262","00000105","1e-05","2"
"263","00000106","1e-05","2"
"264","00000107","1e-05","2"
"265","00000108","1e-05","2"
"266","00000109","1e-05","2"
"267","0000010A","1e-05","2"
"268","0000010B","1e-05","2"
"269","0000010C","1e-05","2"
"270","0000010D","1e-05","2"
"271","0000010E","1e-05","2"
"272","0000010F","1e-05","2"
"273","00000110","1e-05","2"
"274","00000111","1e-05","2"
"275","00000112","1e-05","2"
"276","00000113","1e-05","2"
"277","00000114","1e-05","2"
"278","00000115","1e-05","2"
"279","00000116","1e-05","2"
"280","00000117","1e-05","2"
"281","00000118","1e-05","2"
"282","00000119","1e-05","2"
"283","0000011A","1e-05","2"
"284","0000011B","1e-05","2"
"285","0000011C","1e-05","2"
"286","0000011D","1e-05","2"
"287","0000011E","1e-05","2"
"288","0000011F","1e-05","2"
"289","00000120","1e-05","2"
"290","00000121","1e-05","2"
"291","00000122","1e-05","2"
"292","00000123","1e-05","2"
"293","00000124","1e-05","2"
"294","00000125","1e-05","2"
"295","00000126","1e-05","2"
"296","00000127","1e-05","2"
"297","00000128","1e-05","2"
"298","00000129","1e-05","2"
"299","0000012A","1e-05","2"
"300","0000012B","1e-05","2"
"301","0000012C","1e-05","2"
"302","0000012D","1e-05","2"
"303","0000012E","1e-05","2"
"304","0000012F","1e-05","2"
"305","00000130","1e-05","2"
"306","00000131","1e-05","2"
"307","00000132","1e-05","2"
"308","00000133","1e-05","2"
"309","00000134","1e-05","2"
"310","00000135","1e-05","2"
"311","00000136","1e-05","2"
"312","00000137","1e-05","2"
"313","00000138","1e-05","2"
"314","00000139","1e-05","2"
"315","0000013A","1e-05","2"
"316","0000013B","1e-05","2"
"317","0000013C","1e-05","2"
"318","0000013D","1e-05","2"
"319","0000013E","1e-05","2"
"320","0000013F","1e-05","2"
"321","00000140","1e-05","2"
"322","00000141","1e-05","2"
"323","00000142","1e-05","2"
"324","00000143","1e-05","2"
"325","00000144","1e-05","2"
"326","00000145","1e-05","2"
"327","00000146","1e-05","2"
"328","00000147","1e-05","2"
"329","00000148","1e-05","2"
"330","00000149","1e-05","2"
"331","0000014A","1e-05","2"
"332","0000014B","1e-05","2"
"333","0000014C","1e-05","2"
"334","0000014D","1e-05","2"
"335","0000014E","1e-05","2"
"336","0000014F","1e-05","2"
"337","00000150","1e-05","2"
"338","00000151","1e-05","2"
"339","00000152","1e-05","2"
"340","00000153","1e-05","2"
"341","00000154","1e-05","2"
"342","00000155","1e-05","2"
"343","00000156","1e-05","2"
"344","00000157","1e-05","2"
"345","00000158","1e-05","2"
"346","00000159","1e-05","2"
"347","0000015A","1e-05","2"
"348","0000015B","1e-05","2"
"349","0000015C","1e-05","2"
"350","0000015D","1e-05","2"
"351","0000015E","1e-05","2"
"352","0000015F","1e-05","2"
"353","00000160","1e-05","2"
"354","00000161","1e-05","2"
"355","00000162","1e-05","2"
"356","00000163","1e-05","2"
"357","00000164","1e-05","2"
"358","00000165","1e-05","2"
"359","00000166","1e-05","2"
"360","00000167","1e-05","2"
"361","00000168","1e-05","2"
"362","00000169","1e-05","2"
"363","0000016A","1e-05","2"
"364","0000016B","1e-05","2"
"365","0000016C","1e-05","2"
"366","0000016D","1e-05","2"
"367","0000016E","1e-05","2"
"368","0000016F","1e-05","2"
"369","00000170","1e-05","2"
"370","00000171","1e-05","2"
"371","00000172","1e-05","2"
"372","00000173","1e-05","2"
"373","00000174","1e-05","2"
"374","00000175","1e-05","2"
"375","00000176","1e-05","2"
"376","00000177","1e-05","2"
"377","00000178","1e-05","2"
"378","00000179","1e-05","2"
"379","0000017A","1e-05","2"
"380","0000017B","1e-05","2"
"381","0000017C","1e-05","2"
"382","0000017D","1e-05","2"
"383","0000017E","1e-05","2"
"384","0000017F","1e-05","2"
"385","00000180","1e-05","2"
"386","00000181","1e-05","2"
"387","00000182","1e-05","2"
"388","00000183","1e-05","2"
"389","00000184","1e-05","2"
"390","00000185","1e-05","2"
"391","00000186","1e-05","2"
"392","00000187","1e-05","2"
"393","00000188","1e-05","2"
"394","00000189","1e-05","2"
"395","0000018A","1e-05","2"
"396","0000018B","1e-05","2"
"397","0000018C","1e-05","2"
"398","0000018D","1e-05","2"
"399","0000018E","1e-05","2"
"400","0000018F","1e-05","2"
"401","00000190","1e-05","2"
"402","00000191","1e-05","2"
