"id","sweep_init_time","pop_radius_at_sweep_init"
"00000000",0,0
"00000000",215.127594,25.8421001703343
"00000001",0,0
"00000001",209.097885,24.430125595146
"00000002",0,0
"00000003",0,0
"00000003",67.356949,6.3078313050504
"00000004",0,0
"00000004",205.54332,29.1364456729398
"00000005",0,0
"00000005",29.782209,3.24102240721429
"00000006",0,0
"00000006",230.88356,35.9977714123279
"00000007",0,0
"00000007",94.071404,8.31103154258739
"00000008",0,0
"00000008",292.681,34.0014927116373
"00000009",0,0
"00000009",172.669983,20.1850601761613
"0000000A",0,0
"0000000A",257.745117,26.4748629718212
"0000000B",0,0
"0000000B",202.68895,24.598924643882
"0000000C",0,0
"0000000C",215.21463,23.769729657197
"0000000D",0,0
"0000000D",160.019775,13.398760233979
"0000000E",0,0
"0000000E",175.652954,18.9487084418785
"0000000F",0,0
"0000000F",161.772888,16.8502943142232
"00000010",0,0
"00000010",222.970093,26.3301905064946
"00000011",0,0
"00000012",0,0
"00000012",251.938217,30.298609072927
"00000013",0,0
"00000013",144.77037,11.4795597859887
"00000014",0,0
"00000014",266.555328,26.4628371420061
"00000015",0,0
"00000015",138.341003,11.6173745632104
"00000016",0,0
"00000016",124.433456,16.4294486664603
"00000017",0,0
"00000018",0,0
"00000018",172.079773,20.4669443302577
"00000019",0,0
"00000019",110.083115,10.9400419197143
"0000001A",0,0
"0000001B",0,0
"0000001B",279.272797,31.1277254797626
"0000001C",0,0
"0000001C",219.527863,28.0169980427816
"0000001D",0,0
"0000001D",278.263153,33.4921489145095
"0000001E",0,0
"0000001E",153.793808,17.7338706307897
"0000001F",0,0
"0000001F",207.369385,22.8479367414525
"00000020",0,0
"00000020",116.745758,12.8159237384917
"00000021",0,0
"00000021",274.408112,25.4573943731521
"00000022",0,0
"00000022",169.353455,19.3476723703948
"00000023",0,0
"00000023",181.340164,14.9163873120293
"00000024",0,0
"00000024",247.41983,28.0226781235379
"00000025",0,0
"00000025",234.840607,24.7986834349544
"00000026",0,0
"00000026",137.217087,15.6149086714199
"00000027",0,0
"00000027",282.526184,27.4546500703108
"00000028",0,0
"00000028",204.469925,23.7295214587047
"00000029",0,0
"00000029",198.06694,18.0804937186669
"0000002A",0,0
"0000002A",158.193802,18.1332322664178
"0000002B",0,0
"0000002B",102.854813,10.8524033231355
"0000002C",0,0
"0000002C",173.866196,16.6124854046993
"0000002D",0,0
"0000002D",102.482338,11.1703838512401
"0000002E",0,0
"0000002E",94.584518,9.11476166961975
"0000002F",0,0
"0000002F",70.729599,9.62435332266449
"00000030",0,0
