,id,...1.x,x070,x075,x080,x085,x090,x095,x099,x100,more_than_one_mutant,first_mutant_init_time,pop_radius_at_first_mut_init,mu_driver_birth,s_driver_birth,birth_rate_end_mean,sr1,sweep_complete_time,num_cell,sim_length,sim_size
1,00000000,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,139.376099,17.52649707,1e-05,2,10,10,153.748276,5201,250.745712,1e+06
2,00000000a,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,207.383759,26.37850282,1e-05,0.15,5.725065791,5.250073101,486.779022,59118,712.346436,1e+06
3,00000000b,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,229.533829,24.24702785,1e-05,0.05,1.418617209,0.465130232,0,1,2000,433842
4,00000000bb,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,493.068481,66.3348767,1e-05,0.05,2.389165957,1.54351773,0,1,2000,498549
5,00000000d,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,344.710938,43.84373847,1e-05,0.075,3.016175653,2.24019517,0,1,250.745712,1e+06
6,00000001,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,203.739914,23.65597777,1e-05,2,9.642906653,9.603229614,266.502014,17045,366.036621,1e+06
7,00000001a,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,297.218719,38.18192345,1e-05,0.15,6.115771987,5.684191097,467.516113,51443,763.341614,1e+06
8,00000001b,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,110.657471,10.73443891,1e-05,0.05,1.94304847,1.047831633,0,1,1929.960938,1000000
9,00000001bb,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,550.228943,72.84821496,1e-05,0.05,2.041511989,1.157235543,0,1,2000,823894
10,00000001d,2,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,458.604218,61.0681474,1e-05,0.075,3.189054118,2.432282353,0,1,366.036621,1e+06
11,00000002,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,201.62999,26.90460982,1e-05,2,9.877479065,9.863865627,217.606308,7003,306.519135,1e+06
12,00000002a,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,418.896515,58.03753282,1e-05,0.15,6.570068448,6.188964942,821.628723,198359,942.700012,1e+06
13,00000002b,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,412.639191,45.08577307,1e-05,0.05,1.484108892,0.537898769,0,1,2000,480625
14,00000002bb,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,387.834015,52.27514106,1e-05,0.05,1.42023458,0.466927311,0,1,2000,382390
15,00000002d,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,707.559875,99.30377774,1e-05,0.075,3.210017805,2.455575339,1389.631348,425122,306.519135,1e+06
16,00000003,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,166.437424,19.14951185,1e-05,2,10,10,177.120728,11178,255.759964,1e+06
17,00000003a,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,166.437424,19.14922946,1e-05,0.15,5.592944245,5.103271383,369.132812,46788,666.416687,1e+06
18,00000003b,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,441.213165,57.32010681,1e-05,0.05,1.934288341,1.038098157,1614.780151,442189,1942.067139,1000000
19,00000003bb,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,876.275574,122.4629343,1e-05,0.05,1.606163084,0.673514538,0,1,2000,498887
20,00000003d,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,660.869995,91.33948827,1e-05,0.075,2.930512739,2.145014154,0,1,255.759964,1e+06
21,00000004,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,255.253265,35.51310976,1e-05,2,9.47706605,9.418962278,273.620392,25291,354.923004,1e+06
22,00000004a,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,295.240356,40.63731893,1e-05,0.15,6.44157402,6.046193356,0,1,843.004639,1e+06
23,00000004b,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,368.464142,50.02233516,1e-05,0.05,1.668602004,0.742891116,0,1,1938.60437,1000000
24,00000004bb,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,757.200562,106.4660277,1e-05,0.05,1.464988541,0.516653934,0,1,2000,483165
25,00000004d,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,559.425781,78.95026404,1e-05,0.075,2.521912352,1.691013724,0,1,354.923004,1e+06
26,00000005,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,168.105621,19.60131026,1e-05,2,10,10,208.015625,13111,286.160797,1e+06
27,00000005a,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,198.253708,23.95647563,1e-05,0.15,6.419418669,6.021576299,812.042358,162954,977.99408,1e+06
28,00000005b,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,646.01062,85.91442225,1e-05,0.05,1.46830621,0.520340233,0,1,2000,646239
29,00000005bb,12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,192.769531,21.98168345,1e-05,0.05,1.454715773,0.505239748,0,1,2000,425229
30,00000005d,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,560.716858,71.73199642,1e-05,0.075,2.462020432,1.624467147,0,1,286.160797,1e+06
31,00000006,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,90.636894,11.79430044,1e-05,2,10,10,110.674271,3789,199.309235,1e+06
32,00000006a,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,334.905334,47.79321859,1e-05,0.15,5.756240641,5.284711823,676.717468,102375,930.753723,1e+06
33,00000006b,13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,946.194519,123.237655,1e-05,0.05,1.475944577,0.528827308,0,1,2000,361085
34,00000006bb,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,601.190979,89.91525343,1e-05,0.05,1.591683359,0.657425954,0,1,2000,559916
